ticker,is_all_revenue_growth_larger_than_5,median_revenue_growth,is_all_eps_growth_larger_than_10,median_eps_growth,is_roic_larger_than_15,median_roic,is_roe_larger_than_15,median_roe,icr,peg
A,5,4.56,4,1.94,5,13.64,4,14.46,14.21,15.8
AAN,4,0.8,3,-33.21,1,7.67,1,7.38,15.61,-1.0
AAOI,7,23.27,6,22.03,2,-0.14,1,-1.44,-9.337,-1.0
ABCL,4,46.18,1,5.42,2,16.84,0,13.58,53.53,-1.0
ABEV,7,8.68,5,8.0,10,24.36,10,19.4,7.597,1.85
ABNB,3,35.87,2,-536.42,3,137.18,2,13.34,75.08,-1.0
ABOS,0,0.0,1,3.7,1,0.0,1,-21.44,19.0,-1.0
ABSI,2,20.18,1,-100.0,0,-49.47,1,-27.58,-109.8,-1.0
ABUS,6,12.02,6,19.22,1,-65.81,0,-45.95,-37.92,-1.0
ABVX,4,13.89,2,-5.22,0,-36.93,0,-80.9,-15.33,-1.0
ACAD,7,19.93,3,-13.83,0,-68.53,0,-48.04,-33.83,-1.0
ACB,4,0.0,3,-13.24,0,-5.93,0,-45.36,-3.223,-1.0
ACEL,2,0.0,3,145.45,1,13.77,2,1.56,4.476,0.14
ACHC,7,11.76,7,30.14,0,6.04,0,7.56,6.363,-1.0
ACI,4,3.17,7,59.05,0,3.92,4,9.04,5.702,0.16
ACIU,2,-6.36,3,-45.53,3,-24.8,2,-25.64,-199.6,-1.0
ACIW,4,3.34,5,27.74,0,6.37,1,10.94,3.832,1.33
ACLS,6,23.08,7,69.98,5,13.66,3,9.04,38.08,0.23
ACLX,0,0.0,1,6.23,0,0.0,2,50.37,-111.2,-1.0
ACMR,6,45.67,2,0.0,3,13.62,1,5.82,35.67,-1.0
ADAP,7,57.31,2,-22.5,1,-63.43,0,-43.08,163.0,-1.0
ADI,6,14.34,5,-2.02,0,8.02,1,10.9,14.45,-1.0
ADM,3,0.01,6,38.63,1,6.34,1,9.22,14.38,0.25
ADMA,9,81.57,5,15.44,0,-96.82,1,-103.88,-2.042,-1.0
ADPT,5,44.76,1,-24.71,0,-20.91,1,-18.79,-47.24,-1.0
ADSK,6,12.29,4,-61.91,4,9.8,5,24.22,23.0,-1.0
ADUS,10,15.36,6,13.09,0,7.79,1,7.67,8.024,1.87
AEHR,7,23.58,7,39.88,3,-32.16,3,-7.48,-10.77,0.67
AEIS,8,13.18,5,27.3,7,17.17,6,16.0,32.32,1.05
AFRI,2,21.92,0,-81.1,0,-1.12,0,-34.89,-0.246,-1.0
AFYA,5,54.58,4,75.11,0,11.59,1,10.5,2.301,0.34
AGEN,5,40.46,3,-14.98,4,-187.79,7,105.24,-2.9,-1.0
AGIO,5,9.98,4,-21.38,4,-6.04,1,-42.22,-30.41,-1.0
AGL,3,50.57,2,46.67,0,-79.0,1,-10.26,24.36,-1.0
AGRO,7,9.6,4,0.0,1,6.86,0,0.32,3.078,-1.0
AGS,8,27.1,7,54.48,0,2.19,1,-38.34,0.935,1.87
AGTI,4,17.3,3,53.74,0,2.42,0,-1.18,1.861,-1.0
AGYS,6,8.29,6,32.45,2,-14.1,0,-8.48,-4.457,4.14
AHCO,4,53.37,1,-57.26,1,4.06,0,0.85,1.74,-1.0
AI,4,27.45,1,-71.02,0,-33.28,1,-12.33,13.01,-1.0
AKAM,9,8.32,6,15.46,0,9.18,0,11.25,60.95,2.24
AKBA,4,0.0,5,10.32,1,-37.6,0,-67.65,-4.028,-1.0
AKRO,0,0.0,2,8.28,0,0.0,0,-33.67,-155.8,-1.0
AKYA,2,29.41,0,-13.73,0,-73.99,0,-89.96,-14.54,-1.0
ALC,5,5.14,3,0.0,1,0.61,1,1.11,5.015,-1.0
ALCO,3,-11.4,4,-29.09,0,2.63,1,6.56,-0.855,-1.0
ALEC,3,320.26,1,-77.53,0,-25.68,2,-30.28,8.482,-1.0
ALGM,2,8.8,2,0.45,2,15.53,2,11.05,87.03,44.83
ALGN,8,20.16,6,16.93,9,26.45,8,19.74,119.7,3.39
ALHC,3,22.77,2,33.06,3,2283.18,0,-69.59,-7.034,-1.0
ALIM,6,15.5,7,30.06,2,-25.12,5,-2.8,-1.979,-1.0
ALIT,2,6.9,1,-45.45,0,0.87,0,-1.62,0.352,-1.0
ALKS,7,10.26,5,10.92,0,-11.7,0,-12.51,-10.91,2.0
ALKT,3,35.77,1,-24.0,0,-45.47,0,-17.54,-18.15,-1.0
ALLK,0,0.0,1,-51.49,0,0.0,1,-23.11,-87.78,-1.0
ALLO,0,0.0,1,0.6,0,-67.32,0,-28.04,19.6,-1.0
ALNT,7,14.76,3,-16.4,1,7.52,3,12.7,4.115,-1.0
ALNY,7,18.78,2,-10.14,1,-44.56,1,-41.53,-5.034,-1.0
ALPN,4,0.0,5,11.79,0,-28.14,1,-41.63,-122.2,-1.0
ALT,2,-43.47,7,46.44,1,-101.58,1,-47.0,-10967.0,-1.0
ALXO,1,0.0,1,-43.03,2,288.98,4,39.96,29.23,-1.0
AMAM,1,-0.71,2,20.34,0,-78.35,0,-35.95,-58.97,-1.0
