Company Name,Ticker,Sector,Industry,Exchange,Market Cap (mil)
"Agilent Technologies","A","Computer and Technology","Electronics - Testing Equipment","NYSE","38248.74"
"Alcoa","AA","Industrial Products","Metal Products - Distribution","NYSE","5359.51"
"AAC Technologies","AACAY","Computer and Technology","Electronics - Miscellaneous Components","OTC","3194"
"ATA","AACG","Consumer Discretionary","Schools","NSDQ","33.29"
"Armada Acquisition Corp. I","AACI","Unclassified","Unclassified","NSDQ","87.84"
"Ares Acquisition Corporation II","AACT","Unclassified","Unclassified","NYSE","653.13"
"Aadi Bioscience","AADI","Medical","Medical - Biomedical and Genetics","NSDQ","42.18"
"African Agriculture Holdings Inc.","AAGR","Consumer Staples","Agriculture - Operations","NSDQ","8.98"
"Alabama Aircraft Industries","AAIIQ","Aerospace","Aerospace - Defense Equipment","OTC",""
"American Airlines","AAL","Transportation","Transportation - Airline","NSDQ","8633.28"
"Aaron's","AAN","Consumer Discretionary","Consumer Services - Miscellaneous","NYSE","317.24"
"Applied Optoelectronics","AAOI","Computer and Technology","Electronics - Semiconductors","NSDQ","618.7"
"AAON","AAON","Construction","Building Products - Air Conditioner and Heating","NSDQ","5814.32"
"Advance Auto Parts","AAP","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","NYSE","3647.47"
"AAP","AAPJ","Computer and Technology","Communication - Components","OTC",".71"
"Apple","AAPL","Computer and Technology","Computer - Mini computers","NSDQ","2891567.5"
"Accelerate Acquisition","AAQC","Unclassified","Unclassified","NYSE",""
"Global Acquisitions","AASP","Unclassified","Unclassified","OTCBB",""
"Autoscope Technologies","AATC","Business Services","Technology Services","OTC","43.17"
"Almaden Minerals","AAU","Basic Materials","Mining - Gold","AMEX",""
"Advantage Oil & Gas","AAVVF","Oils-Energy","Alternative Energy - Other","OTC","1135.58"
"Ascend Wellness Holdings, Inc.","AAWH","Medical","Medical Services","OTC","295.57"
"American Battery Technology Company","ABAT","Computer and Technology","Electronics - Miscellaneous Products","NSDQ","174.98"
"ABB","ABBNY","Industrial Products","Manufacturing - Electronics","OTC","80775.57"
"AbbVie","ABBV","Medical","Large Cap Pharmaceuticals","NYSE","292320"
"ABCO Energy","ABCE","Computer and Technology","Electronics - Miscellaneous Components","OTC",".03"
"AbCellera Biologics","ABCL","Medical","Medical - Biomedical and Genetics","NSDQ","1564.02"
"Abeona Therapeutics","ABEO","Medical","Medical - Biomedical and Genetics","NSDQ","130.06"
"Ambev","ABEV","Consumer Staples","Beverages - Alcohol","NYSE","43628.1"
"Asbury Automotive Group","ABG","Retail-Wholesale","Automotive - Retail and Whole Sales","NYSE","4161.29"
"Ability","ABILF","Computer and Technology","Computers - IT Services","OTC",""
"ARCA biopharma","ABIO","Medical","Medical - Biomedical and Genetics","NSDQ",""
"Able Energy","ABLE","Oils-Energy","Oil and Gas - Refining and Marketing","OTC",""
"American Biltrite","ABLT","Construction","Building Products - Miscellaneous","OTC",""
"Able View Global Inc.","ABLV","Business Services","Business - Services","NSDQ","99.54"
"ABM Industries","ABM","Business Services","Building Products - Maintenance Service","NYSE","2644.56"
"American Bio Medica","ABMC","Medical","Medical - Products","OTC",".01"
"Advanced Biomedical Technologies","ABMT","Medical","Medical - Instruments","OTC","2.8"
"Airbnb","ABNB","Computer and Technology","Internet - Content","NSDQ","88926.79"
"Acumen Pharmaceuticals","ABOS","Medical","Medical - Biomedical and Genetics","NSDQ","224.69"
"Absci Corporation","ABSI","Medical","Medical - Biomedical and Genetics","NSDQ","370.82"
"Abbott Laboratories","ABT","Medical","Medical - Products","NYSE","197771.72"
"ABITS GROUP","ABTS","Business Services","Advertising and Marketing","NSDQ","38.97"
"Arbutus Biopharma","ABUS","Medical","Medical - Biomedical and Genetics","NSDQ","387.38"
"ABVC BioPharma","ABVC","Medical","Medical - Biomedical and Genetics","NSDQ","11.07"
"Abivax SA Sponsored ADR","ABVX","Medical","Medical - Biomedical and Genetics","NSDQ","477.93"
"Airborne Wireless Network","ABWN","Computer and Technology","Wireless National","OTC",""
"Arcosa","ACA","Construction","Building Products - Miscellaneous","NYSE","3848.63"
"Atlantic Coastal Acquisition Corp. II","ACAB","Unclassified","Unclassified","NSDQ","124.67"
"Acri Capital Acquisition Corporation","ACAC","Unclassified","Unclassified","NSDQ","59.85"
"ACADIA Pharmaceuticals","ACAD","Medical","Medical - Biomedical and Genetics","NSDQ","4716.89"
"Atlantic Coastal Acquisition","ACAH","Unclassified","Unclassified","NSDQ","128.63"
"Safeplus International Holdings Limited","ACAI","Medical","Medical - Products","OTC","0"
"Aurora Cannabis","ACB","Medical","Medical - Products","NSDQ","217.74"
"Ace Global Business Acquisition","ACBA","Consumer Discretionary","Media Conglomerates","NSDQ","41.05"
"Acacia Diversified Holdings","ACCA","Retail-Wholesale","Automotive - Retail and Whole Sales","OTC","0"
"Accolade","ACCD","Business Services","Technology Services","NSDQ","1078.29"
"Acco Brands","ACCO","Industrial Products","Office Supplies","NYSE","588.54"
"ProFrac Holding Corp.","ACDC","Oils-Energy","Alternative Energy - Other","NSDQ","1189.04"
"Air Canada","ACDVF","Transportation","Transportation - Airline","OTC","4972.14"
"Accel Entertainment","ACEL","Consumer Discretionary","Gaming","NYSE","839.55"
"Acer Therapeutics","ACER","Medical","Medical - Drugs","OTC","16.15"
"Adicet Bio","ACET","Medical","Medical - Biomedical and Genetics","NSDQ","143.74"
"Acorn Energy","ACFN","Computer and Technology","Electronics - Miscellaneous Products","OTC","16.77"
"ACI Global","ACGJ","Industrial Products","Security and Safety Services","OTC",""
"Aceragen, Inc.","ACGN","Medical","Medical - Biomedical and Genetics","NSDQ","3.2"
"Aluminum Corp. of China Limited","ACH","Basic Materials","Mining - Non Ferrous","NYSE",""
"Acadia Healthcare","ACHC","Medical","Medical - Hospital","NSDQ","7917.67"
"Arch Biopartners Inc.","ACHFF","Medical","Medical - Drugs","OTC","69.72"
"Achilles Therapeutics","ACHL","Medical","Medical - Biomedical and Genetics","NSDQ","36.13"
"Archer Aviation","ACHR","Aerospace","Aerospace - Defense","NYSE","1555.02"
"Achieve Life Sciences","ACHV","Medical","Medical - Drugs","NSDQ","90.8"
"Albertsons Companies","ACI","Consumer Staples","Consumer Products - Staples","NYSE","13081.87"
"AC Immune","ACIU","Medical","Medical - Biomedical and Genetics","NSDQ","385.93"
"ACI Worldwide","ACIW","Computer and Technology","Computer - Software","NSDQ","3281.65"
"Axcelis Technologies","ACLS","Computer and Technology","Electronics - Manufacturing Machinery","NSDQ","3737.09"
"Arcellx","ACLX","Medical","Medical - Biomedical and Genetics","NSDQ","2704.99"
"AECOM","ACM","Construction","Engineering - R and D Services","NYSE","12308.18"
"ACM Research","ACMR","Computer and Technology","Semiconductor Equipment - Material Services","NSDQ","1212.33"
"Accenture","ACN","Business Services","Consulting Services","NYSE","223529.36"
"American Community Newspapers","ACNI","Consumer Staples","Publishing - Newspapers","OTC",""
"Ascent Industries Co.","ACNT","Industrial Products","Manufacturing - General Industrial ","NSDQ","107.34"
"Accelera Innovations","ACNV","Computer and Technology","Internet - Software","OTC",""
"Alpha Cognition Inc.","ACOGF","Medical","Medical - Biomedical and Genetics","OTC","36.25"
"Aclarion","ACON","Medical","Medical Services","NSDQ","1.73"
